ID	Disease Name	MeSH Scope Note
D012793	Sialadenitis	INFLAMMATION of salivary tissue (SALIVARY GLANDS), usually due to INFECTION or injuries.
D012797	Sialometaplasia, Necrotizing	A benign, inflammatory, variably ulcerated, occasionally bilateral, self-healing lesion of the minor salivary glands that is often confused clinically and histologically with carcinoma.
D012798	Sialorrhea	Increased salivary flow.
D012804	Sick Sinus Syndrome	A condition caused by dysfunctions related to the SINOATRIAL NODE including impulse generation (CARDIAC SINUS ARREST) and impulse conduction (SINOATRIAL EXIT BLOCK). It is characterized by persistent BRADYCARDIA, chronic ATRIAL FIBRILLATION, and failure to resume sinus rhythm following CARDIOVERSION. This syndrome can be congenital or acquired, particularly after surgical correction for heart defects.
D012805	Sickle Cell Trait	The condition of being heterozygous for hemoglobin S.
D012806	Siderosis	A form of pneumoconiosis resulting from inhalation of iron in the mining dust or welding fumes.
D012810	Sigmoid Diseases	Pathological processes in the SIGMOID COLON region of the large intestine (INTESTINE, LARGE).
D012811	Sigmoid Neoplasms	Tumors or cancer of the SIGMOID COLON.
D012816	Signs and Symptoms	Clinical manifestations that can be either objective when observed by a physician, or subjective when perceived by the patient.
D012817	Signs and Symptoms, Digestive	Digestive system manifestations of diseases of the gastrointestinal system or of other organs.
D012818	Signs and Symptoms, Respiratory	Respiratory system manifestations of diseases of the respiratory tract or of other organs.
D012829	Silicosis	A form of pneumoconiosis resulting from inhalation of dust containing crystalline form of SILICON DIOXIDE, usually in the form of quartz. Amorphous silica is relatively nontoxic.
D012830	Silicotuberculosis	Pulmonary or extrapulmonary infection caused by MYCOBACTERIUM TUBERCULOSIS or nontuberculous mycobacteria in a patient with silicosis.
D012832	Silo Filler's Disease	A form of alveolitis or PNEUMONITIS caused by hypersensitivity to high level of inhaled nitrogen oxides, decomposition products of silage.
D012848	Sinoatrial Block	Disturbance in the atrial activation that is caused by transient failure of impulse conduction from the SINOATRIAL NODE to the HEART ATRIA. It is characterized by a delayed in heartbeat and pauses between P waves in an ELECTROCARDIOGRAM.
D012851	Sinus Thrombosis, Intracranial	Formation or presence of a blood clot (THROMBUS) in the CRANIAL SINUSES, large endothelium-lined venous channels situated within the SKULL. Intracranial sinuses, also called cranial venous sinuses, include the superior sagittal, cavernous, lateral, petrous sinuses, and many others. Cranial sinus thrombosis can lead to severe HEADACHE; SEIZURE; and other neurological defects.
D012852	Sinusitis	Inflammation of the NASAL MUCOSA in one or more of the PARANASAL SINUSES.
D012857	Situs Inversus	A congenital abnormality in which organs in the THORAX and the ABDOMEN are opposite to their normal positions (situs solitus) due to lateral transposition. Normally the STOMACH and SPLEEN are on the left, LIVER on the right, the three-lobed right lung is on the right, and the two-lobed left lung on the left. Situs inversus has a familial pattern and has been associated with a number of genes related to microtubule-associated proteins.
D012859	Sjogren's Syndrome	Chronic inflammatory and autoimmune disease in which the salivary and lacrimal glands undergo progressive destruction by lymphocytes and plasma cells resulting in decreased production of saliva and tears. The primary form, often called sicca syndrome, involves both KERATOCONJUNCTIVITIS SICCA and XEROSTOMIA. The secondary form includes, in addition, the presence of a connective tissue disease, usually rheumatoid arthritis.
D012868	Skin Abnormalities	Congenital structural abnormalities of the skin.
D012871	Skin Diseases	Diseases involving the DERMIS or EPIDERMIS.
D012872	Skin Diseases, Vesiculobullous	Skin diseases characterized by local or general distributions of blisters. They are classified according to the site and mode of blister formation. Lesions can appear spontaneously or be precipitated by infection, trauma, or sunlight. Etiologies include immunologic and genetic factors. (From Scientific American Medicine, 1990)
D012873	Skin Diseases, Genetic	Diseases of the skin with a genetic component, usually the result of various inborn errors of metabolism.
D012874	Skin Diseases, Infectious	Skin diseases caused by bacteria, fungi, parasites, or viruses.
D012875	Skin Diseases, Metabolic	Diseases of the skin associated with underlying metabolic disorders.
D012876	Skin Diseases, Parasitic	Skin diseases caused by ARTHROPODS; HELMINTHS; or other parasites.
D012877	Skin Manifestations	Dermatologic disorders attendant upon non-dermatologic disease or injury.
D012878	Skin Neoplasms	Tumors or cancer of the SKIN.
D012883	Skin Ulcer	An ULCER of the skin and underlying tissues.
D012887	Skull Fractures	Fractures of the skull which may result from penetrating or nonpenetrating head injuries or rarely BONE DISEASES (see also FRACTURES, SPONTANEOUS). Skull fractures may be classified by location (e.g., SKULL FRACTURE, BASILAR), radiographic appearance (e.g., linear), or based upon cranial integrity (e.g., SKULL FRACTURE, DEPRESSED).
D012888	Skull Neoplasms	Neoplasms of the bony part of the skull.
D012891	Sleep Apnea Syndromes	Disorders characterized by multiple cessations of respirations during sleep that induce partial arousals and interfere with the maintenance of sleep. Sleep apnea syndromes are divided into central (see SLEEP APNEA, CENTRAL), obstructive (see SLEEP APNEA, OBSTRUCTIVE), and mixed central-obstructive types.
D012892	Sleep Deprivation	The state of being deprived of sleep under experimental conditions, due to life events, or from a wide variety of pathophysiologic causes such as medication effect, chronic illness, psychiatric illness, or sleep disorder.
D012893	Sleep Wake Disorders	Abnormal sleep-wake schedule or pattern associated with the CIRCADIAN RHYTHM which affect the length, timing, and/or rigidity of the sleep-wake cycle relative to the day-night cycle.
D012897	Slow Virus Diseases	Diseases of viral origin, characterized by incubation periods of months to years, insidious onset of clinical manifestations, and protracted clinical course. Though the disease process is protracted, viral multiplication may not be unusually slow. Conventional viruses produce slow virus diseases such as SUBACUTE SCLEROSING PANENCEPHALITIS, progressive multifocal leukoencephalopathy (LEUKOENCEPHALOPATHY, PROGRESSIVE MULTIFOCAL), and AIDS. Diseases produced by unconventional agents were originally considered part of this group. They are now called PRION DISEASES.
D012899	Smallpox	An acute, highly contagious, often fatal infectious disease caused by an orthopoxvirus characterized by a biphasic febrile course and distinctive progressive skin eruptions. Vaccination has succeeded in eradicating smallpox worldwide. (Dorland, 28th ed)
D012909	Snake Bites	Bites by snakes. Bite by a venomous snake is characterized by stinging pain at the wound puncture. The venom injected at the site of the bite is capable of producing a deleterious effect on the blood or on the nervous system. (Webster's 3d ed; from Dorland, 27th ed, at snake, venomous)
D012912	Sneezing	The sudden, forceful, involuntary expulsion of air from the NOSE and MOUTH caused by irritation to the MUCOUS MEMBRANES of the upper RESPIRATORY TRACT.
D012913	Snoring	Rough, noisy breathing during sleep, due to vibration of the uvula and soft palate.
D012983	Soft Tissue Neoplasms	Neoplasms of whatever cell type or origin, occurring in the extraskeletal connective tissue framework of the body including the organs of locomotion and their various component structures, such as nerves, blood vessels, lymphatics, etc.
D013005	Somatostatinoma	A SOMATOSTATIN-secreting tumor derived from the pancreatic delta cells (SOMATOSTATIN-SECRETING CELLS). It is also found in the INTESTINE. Somatostatinomas are associated with DIABETES MELLITUS; CHOLELITHIASIS; STEATORRHEA; and HYPOCHLORHYDRIA. The majority of somatostatinomas have the potential for METASTASIS.
D013009	Somnambulism	A parasomnia characterized by a partial arousal that occurs during stage IV of non-REM sleep. Affected individuals exhibit semipurposeful behaviors such as ambulation and are difficult to fully awaken. Children are primarily affected, with a peak age range of 4-6 years.
D013031	Sparganosis	Infection of animals, including fish and man, with a developmental stage of Diphyllobothrium. This stage has recently been referred to as a plerocercoid but the name sparganum has persisted. Therefore, infection of fish or other animals with the plerocercoid larvae is sparganosis. Fish-eating mammals, including man, are the final hosts.
D013035	Spasm	An involuntary contraction of a muscle or group of muscles. Spasms may involve SKELETAL MUSCLE or SMOOTH MUSCLE.
D013036	Spasms, Infantile	An epileptic syndrome characterized by the triad of infantile spasms, hypsarrhythmia, and arrest of psychomotor development at seizure onset. The majority present between 3-12 months of age, with spasms consisting of combinations of brief flexor or extensor movements of the head, trunk, and limbs. The condition is divided into two forms: cryptogenic (idiopathic) and symptomatic (secondary to a known disease process such as intrauterine infections; nervous system abnormalities; BRAIN DISEASES, METABOLIC, INBORN; prematurity; perinatal asphyxia; TUBEROUS SCLEROSIS; etc.). (From Menkes, Textbook of Child Neurology, 5th ed, pp744-8)
D013064	Speech Disorders	Acquired or developmental conditions marked by an impaired ability to comprehend or generate spoken forms of language.
D013086	Spermatic Cord Torsion	The twisting of the SPERMATIC CORD due to an anatomical abnormality that left the TESTIS mobile and dangling in the SCROTUM. The initial effect of testicular torsion is obstruction of venous return. Depending on the duration and degree of cord rotation, testicular symptoms range from EDEMA to interrupted arterial flow and testicular pain. If blood flow to testis is absent for 4 to 6 h, SPERMATOGENESIS may be permanently lost.
D013088	Spermatocele	A cystic dilation of the EPIDIDYMIS, usually in the head portion (caput epididymis). The cyst fluid contains dead SPERMATOZOA and can be easily differentiated from TESTICULAR HYDROCELE and other testicular lesions.
D013103	Spherocytosis, Hereditary	A group of familial congenital hemolytic anemias characterized by numerous abnormally shaped erythrocytes which are generally spheroidal. The erythrocytes have increased osmotic fragility and are abnormally permeable to sodium ions.
D013106	Sphingolipidoses	A group of inherited metabolic disorders characterized by the intralysosomal accumulation of SPHINGOLIPIDS primarily in the CENTRAL NERVOUS SYSTEM and to a variable degree in the visceral organs. They are classified by the enzyme defect in the degradation pathway and the substrate accumulation (or storage). Clinical features vary in subtypes but neurodegeneration is a common sign.
D013117	Spinal Cord Compression	Acute and chronic conditions characterized by external mechanical compression of the SPINAL CORD due to extramedullary neoplasm; EPIDURAL ABSCESS; SPINAL FRACTURES; bony deformities of the vertebral bodies; and other conditions. Clinical manifestations vary with the anatomic site of the lesion and may include localized pain, weakness, sensory loss, incontinence, and impotence.
D013118	Spinal Cord Diseases	Pathologic conditions which feature SPINAL CORD damage or dysfunction, including disorders involving the meninges and perimeningeal spaces surrounding the spinal cord. Traumatic injuries, vascular diseases, infections, and inflammatory/autoimmune processes may affect the spinal cord.
D013119	Spinal Cord Injuries	Penetrating and non-penetrating injuries to the spinal cord resulting from traumatic external forces (e.g., WOUNDS, GUNSHOT; WHIPLASH INJURIES; etc.).
D013120	Spinal Cord Neoplasms	Benign and malignant neoplasms which occur within the substance of the spinal cord (intramedullary neoplasms) or in the space between the dura and spinal cord (intradural extramedullary neoplasms). The majority of intramedullary spinal tumors are primary CNS neoplasms including ASTROCYTOMA; EPENDYMOMA; and LIPOMA. Intramedullary neoplasms are often associated with SYRINGOMYELIA. The most frequent histologic types of intradural-extramedullary tumors are MENINGIOMA and NEUROFIBROMA.
D013121	Spinal Curvatures	Deformities of the SPINE characterized by abnormal bending or flexure in the vertebral column. They may be bending forward (KYPHOSIS), backward (LORDOSIS), or sideway (SCOLIOSIS).
D013122	Spinal Diseases	Diseases involving the SPINE.
D013124	Spinal Injuries	Injuries involving the vertebral column.
D013125	Spinal Neoplasms	New abnormal growth of tissue in the SPINE.
D013128	Spinal Osteophytosis	Outgrowth of immature bony processes or bone spurs (OSTEOPHYTE) from the VERTEBRAE, reflecting the presence of degenerative disease and calcification. It commonly occurs in cervical and lumbar SPONDYLOSIS.
D013130	Spinal Stenosis	Narrowing of the spinal canal.
D013132	Spinocerebellar Degenerations	A heterogenous group of degenerative syndromes marked by progressive cerebellar dysfunction either in isolation or combined with other neurologic manifestations. Sporadic and inherited subtypes occur. Inheritance patterns include autosomal dominant, autosomal recessive, and X-linked.
D013145	Spirochaetales Infections	Infections with bacteria of the order SPIROCHAETALES.
D013158	Splenic Diseases	Diseases involving the SPLEEN.
D013159	Splenic Infarction	Insufficiency of arterial or venous blood supply to the spleen due to emboli, thrombi, vascular torsion, or pressure that produces a macroscopic area of necrosis. (From Stedman, 25th ed)
D013160	Splenic Neoplasms	Tumors or cancer of the SPLEEN.
D013161	Splenic Rupture	Rupture of the SPLEEN due to trauma or disease.
D013163	Splenomegaly	Enlargement of the spleen.
D013166	Spondylitis	Inflammation of the SPINE. This includes both arthritic and non-arthritic conditions.
D013167	Spondylitis, Ankylosing	A chronic inflammatory condition affecting the axial joints, such as the SACROILIAC JOINT and other intervertebral or costovertebral joints. It occurs predominantly in young males and is characterized by pain and stiffness of joints (ANKYLOSIS) with inflammation at tendon insertions.
D013168	Spondylolisthesis	Forward displacement of a superior vertebral body over the vertebral body below.
D013169	Spondylolysis	Deficient development or degeneration of a portion of the VERTEBRA, usually in the pars interarticularis (the bone bridge between the superior and inferior facet joints of the LUMBAR VERTEBRAE) leading to SPONDYLOLISTHESIS.
D013174	Sporotrichosis	The commonest and least serious of the deep mycoses, characterized by nodular lesions of the cutaneous and subcutaneous tissues. It is caused by inhalation of contaminated dust or by infection of a wound with SPOROTHRIX.
D013180	Sprains and Strains	A collective term for muscle and ligament injuries without dislocation or fracture. A sprain is a joint injury in which some of the fibers of a supporting ligament are ruptured but the continuity of the ligament remains intact. A strain is an overstretching or overexertion of some part of the musculature.
D013182	Sprue, Tropical	A chronic malabsorption syndrome, occurring mainly in residents of or visitors to the tropics or subtropics. The failed INTESTINAL ABSORPTION of nutrients from the SMALL INTESTINE results in MALNUTRITION and ANEMIA that is due to FOLIC ACID deficiency.
D013202	Staphylococcal Food Poisoning	Poisoning by staphylococcal toxins present in contaminated food.
D013203	Staphylococcal Infections	Infections with bacteria of the genus STAPHYLOCOCCUS.
D013206	Staphylococcal Scalded Skin Syndrome	A disease of infants due to group 2 phage type 17 staphylococci that produce an epidermolytic exotoxin. Superficial fine vesicles and bullae form and rupture easily, resulting in loss of large sheets of epidermis.
D013207	Staphylococcal Skin Infections	Infections to the skin caused by bacteria of the genus STAPHYLOCOCCUS.
D013217	Starvation	Lengthy and continuous deprivation of food. (Stedman, 25th ed)
D013224	Status Asthmaticus	A sudden intense and continuous aggravation of a state of asthma, marked by dyspnea to the point of exhaustion and collapse and not responding to the usual therapeutic efforts.
D013226	Status Epilepticus	A prolonged seizure or seizures repeated frequently enough to prevent recovery between episodes occurring over a period of 20-30 minutes. The most common subtype is generalized tonic-clonic status epilepticus, a potentially fatal condition associated with neuronal injury and respiratory and metabolic dysfunction. Nonconvulsive forms include petit mal status and complex partial status, which may manifest as behavioral disturbances. Simple partial status epilepticus consists of persistent motor, sensory, or autonomic seizures that do not impair cognition (see also EPILEPSIA PARTIALIS CONTINUA). Subclinical status epilepticus generally refers to seizures occurring in an unresponsive or comatose individual in the absence of overt signs of seizure activity. (From N Engl J Med 1998 Apr 2;338(14):970-6; Neurologia 1997 Dec;12 Suppl 6:25-30)
D013231	Steatitis	"A disease of cats and mink characterized by a marked inflammation of adipose tissue and the deposition of ""ceroid"" pigment in the interstices of the adipose cells. It is believed to be caused by feeding diets containing too much unsaturated fatty acid and too little vitamin E. (Merck Veterinary Manual, 5th ed; Stedman, 25th ed)"
D013262	Stevens-Johnson Syndrome	Rare cutaneous eruption characterized by extensive KERATINOCYTE apoptosis resulting in skin detachment with mucosal involvement. It is often provoked by the use of drugs (e.g., antibiotics and anticonvulsants) or associated with PNEUMONIA, MYCOPLASMA. It is considered a continuum of Toxic Epidermal Necrolysis.
D013271	Gastric Dilatation	Abnormal distention of the STOMACH due to accumulation of gastric contents that may reach 10 to 15 liters. Gastric dilatation may be the result of GASTRIC OUTLET OBSTRUCTION; ILEUS; GASTROPARESIS; or denervation.
D013272	Stomach Diseases	Pathological processes involving the STOMACH.
D013273	Diverticulum, Stomach	Saccular, outward protrusion of all or a portion of the wall of the STOMACH.
D013274	Stomach Neoplasms	Tumors or cancer of the STOMACH.
D013275	Stomach Rupture	Bursting of the STOMACH.
D013276	Stomach Ulcer	Ulceration of the GASTRIC MUCOSA due to contact with GASTRIC JUICE. It is often associated with HELICOBACTER PYLORI infection or consumption of nonsteroidal anti-inflammatory drugs (NSAIDS).
D013277	Stomach Volvulus	Twisting of the STOMACH that may result in gastric ISCHEMIA and GASTRIC OUTLET OBSTRUCTION. It is often associated with DIAPHRAGMATIC HERNIA.
D013280	Stomatitis	INFLAMMATION of the soft tissues of the MOUTH, such as MUCOSA; PALATE; GINGIVA; and LIP.
D013281	Stomatitis, Aphthous	A recurrent disease of the oral mucosa of unknown etiology. It is characterized by small white ulcerative lesions, single or multiple, round or oval. Two to eight crops of lesions occur per year, lasting for 7 to 14 days and then heal without scarring. (From Jablonski's Dictionary of Dentistry, 1992, p742)
D013282	Stomatitis, Denture	Inflammation of the mouth due to denture irritation.
D013283	Stomatitis, Herpetic	Stomatitis caused by Herpesvirus hominis. It usually occurs as acute herpetic stomatitis (or gingivostomatitis), an oral manifestation of primary herpes simplex seen primarily in children and adolescents.
D013285	Strabismus	Misalignment of the visual axes of the eyes. In comitant strabismus the degree of ocular misalignment does not vary with the direction of gaze. In noncomitant strabismus the degree of misalignment varies depending on direction of gaze or which eye is fixating on the target. (Miller, Walsh & Hoyt's Clinical Neuro-Ophthalmology, 4th ed, p641)
D013290	Streptococcal Infections	Infections with bacteria of the genus STREPTOCOCCUS.
D013319	Strongyle Infections, Equine	Infection of horses with parasitic nematodes of the superfamily STRONGYLOIDEA. Characteristics include the development of hemorrhagic nodules on the abdominal peritoneum.
D013322	Strongyloidiasis	Infection with nematodes of the genus STRONGYLOIDES. The presence of larvae may produce pneumonitis and the presence of adult worms in the intestine could lead to moderate to severe diarrhea.
D013330	Struma Ovarii	A rare teratoid tumor of the ovary composed almost entirely of thyroid tissue, with large follicles containing abundant colloid. Occasionally there are symptoms of hyperthyroidism. 5-10% of struma ovarii become malignant, the only absolute criterion for which is the presence of metastasis. (Dorland, 27th ed; Segen, Dictionary of Modern Medicine, 1992)
D013341	Sturge-Weber Syndrome	A non-inherited congenital condition with vascular and neurological abnormalities. It is characterized by facial vascular nevi (PORT-WINE STAIN), and capillary angiomatosis of intracranial membranes (MENINGES; CHOROID). Neurological features include EPILEPSY; cognitive deficits; GLAUCOMA; and visual defects.
D013342	Stuttering	A disturbance in the normal fluency and time patterning of speech that is inappropriate for the individual's age. This disturbance is characterized by frequent repetitions or prolongations of sounds or syllables. Various other types of speech dysfluencies may also be involved including interjections, broken words, audible or silent blocking, circumlocutions, words produced with an excess of physical tension, and monosyllabic whole word repetitions. Stuttering may occur as a developmental condition in childhood or as an acquired disorder which may be associated with BRAIN INFARCTIONS and other BRAIN DISEASES. (From DSM-IV, 1994)
D013344	Subacute Sclerosing Panencephalitis	A rare, slowly progressive encephalitis caused by chronic infection with the MEASLES VIRUS. The condition occurs primarily in children and young adults, approximately 2-8 years after the initial infection. A gradual decline in intellectual abilities and behavioral alterations are followed by progressive MYOCLONUS; MUSCLE SPASTICITY; SEIZURES; DEMENTIA; autonomic dysfunction; and ATAXIA. DEATH usually occurs 1-3 years after disease onset. Pathologic features include perivascular cuffing, eosinophilic cytoplasmic inclusions, neurophagia, and fibrous gliosis. It is caused by the SSPE virus, which is a defective variant of MEASLES VIRUS. (From Adams et al., Principles of Neurology, 6th ed, pp767-8)
D013345	Subarachnoid Hemorrhage	Bleeding into the intracranial or spinal SUBARACHNOID SPACE, most resulting from INTRACRANIAL ANEURYSM rupture. It can occur after traumatic injuries (SUBARACHNOID HEMORRHAGE, TRAUMATIC). Clinical features include HEADACHE; NAUSEA; VOMITING, nuchal rigidity, variable neurological deficits and reduced mental status.
D013349	Subclavian Steal Syndrome	A clinically significant reduction in blood supply to the BRAIN STEM and CEREBELLUM (i.e., VERTEBROBASILAR INSUFFICIENCY) resulting from reversal of blood flow through the VERTEBRAL ARTERY from occlusion or stenosis of the proximal subclavian or brachiocephalic artery. Common symptoms include VERTIGO; SYNCOPE; and INTERMITTENT CLAUDICATION of the involved upper extremity. Subclavian steal may also occur in asymptomatic individuals. (From J Cardiovasc Surg 1994;35(1):11-4; Acta Neurol Scand 1994;90(3):174-8)
D013352	Subcutaneous Emphysema	Presence of air or gas in the subcutaneous tissues of the body.
D013353	Subdural Effusion	Leakage and accumulation of CEREBROSPINAL FLUID in the subdural space which may be associated with an infectious process; CRANIOCEREBRAL TRAUMA; BRAIN NEOPLASMS; INTRACRANIAL HYPOTENSION; and other conditions.
D013354	Empyema, Subdural	An intracranial or rarely intraspinal suppurative process invading the space between the inner surface of the DURA MATER and the outer surface of the ARACHNOID.
D013362	Sublingual Gland Neoplasms	Neoplasms of the sublingual glands.
D013364	Submandibular Gland Diseases	Diseases involving the SUBMANDIBULAR GLAND.
D013365	Submandibular Gland Neoplasms	New abnormal growth of tissue in the SUBMANDIBULAR GLAND.
D013369	Subphrenic Abscess	Accumulation of purulent EXUDATES beneath the DIAPHRAGM, also known as upper abdominal abscess. It is usually associated with PERITONITIS or postoperative infections.
D013375	Substance Withdrawal Syndrome	Physiological and psychological symptoms associated with withdrawal from the use of a drug after prolonged administration or habituation. The concept includes withdrawal from smoking or drinking, as well as withdrawal from an administered drug.
D013398	Sudden Infant Death	The abrupt and unexplained death of an apparently healthy infant under one year of age, remaining unexplained after a thorough case investigation, including performance of a complete autopsy, examination of the death scene, and review of the clinical history. (Pediatr Pathol 1991 Sep-Oct;11(5):677-84)
D013436	Sulfhemoglobinemia	A morbid condition due to the presence of sulfmethemoglobin in the blood. It is marked by persistent cyanosis, but the blood count does not reveal any special abnormality in the blood. It is thought to be caused by the action of hydrogen sulfide absorbed from the intestine. (Stedman, 25th ed)
D013471	Sunburn	An injury to the skin causing erythema, tenderness, and sometimes blistering and resulting from excessive exposure to the sun. The reaction is produced by the ultraviolet radiation in sunlight.
D013474	Sunstroke	Heat stroke caused by exposure to the sun. It is characterized by dangerously high BODY TEMPERATURE; red, hot skin; DELUSIONS; CONVULSIONS; or COMA. It can be a life-threatening emergency and is most common in infants and the elderly.
D013478	Superior Mesenteric Artery Syndrome	DUODENAL OBSTRUCTION by the superior mesenteric artery (MESENTERIC ARTERY, SUPERIOR) which travels in the root of the MESENTERY and crosses over the DUODENUM. The syndrome is characterized by the dilated proximal duodenum and STOMACH, bloating, ABDOMINAL CRAMPS, and VOMITING. Often it is observed in patient with body casts after spinal surgery.
D013479	Superior Vena Cava Syndrome	A condition that occurs when the obstruction of the thin-walled SUPERIOR VENA CAVA interrupts blood flow from the head, upper extremities, and thorax to the RIGHT ATRIUM. Obstruction can be caused by NEOPLASMS; THROMBOSIS; ANEURYSM; or external compression. The syndrome is characterized by swelling and/or CYANOSIS of the face, neck, and upper arms.
D013492	Suppuration	A pathologic process consisting in the formation of pus.
D013494	Supranuclear Palsy, Progressive	A degenerative disease of the central nervous system characterized by balance difficulties; OCULAR MOTILITY DISORDERS (supranuclear ophthalmoplegia); DYSARTHRIA; swallowing difficulties; and axial DYSTONIA. Onset is usually in the fifth decade and disease progression occurs over several years. Pathologic findings include neurofibrillary degeneration and neuronal loss in the dorsal MESENCEPHALON; SUBTHALAMIC NUCLEUS; RED NUCLEUS; pallidum; dentate nucleus; and vestibular nuclei. (From Adams et al., Principles of Neurology, 6th ed, pp1076-7)
D013529	Surgical Wound Dehiscence	Pathologic process consisting of a partial or complete disruption of the layers of a surgical wound.
D013530	Surgical Wound Infection	Infection occurring at the site of a surgical incision.
D013540	Swayback	Congenital locomotor ataxia of lambs, thought to be associated with copper deficiency. It is characterized clinically by progressive incoordination of the hind limbs and pathologically by disruption of neuron and myelin development in the central nervous system. It is caused by a deficiency of metabolizable copper in the ewe during the last half of her pregnancy. (Dorland, 28th ed; Stedman, 26th ed)
D013543	Sweat Gland Diseases	Diseases of the SWEAT GLANDS.
D013544	Sweat Gland Neoplasms	New abnormal growth of tissue in the SWEAT GLANDS.
D013547	Sweating, Gustatory	An autonomic disorder characterized by excessive sweating of the forehead, upper lip, perioral region, or sternum subsequent to gustatory stimuli. The auriculotemporal syndrome features facial flushing or sweating limited to the distribution of the auriculotemporal nerve and may develop after trauma to the parotid gland, in association with PAROTID NEOPLASMS, or following their surgical removal. (From Ann Neurol 1997 Dec;42(6):973-5)
D013553	Swine Diseases	Diseases of domestic swine and of the wild boar of the genus Sus.
D013554	Swine Erysipelas	An acute and chronic contagious disease of young pigs caused by Erysipelothrix insidiosa.
D013555	Swine Vesicular Disease	An enterovirus infection of swine clinically indistinguishable from FOOT-AND-MOUTH DISEASE, vesicular stomatitis, and VESICULAR EXANTHEMA OF SWINE. It is caused by a strain of HUMAN ENTEROVIRUS B.
D013568	Pathological Conditions, Signs and Symptoms	Abnormal anatomical or physiological conditions and objective or subjective manifestations of disease, not classified as disease or syndrome.
D013575	Syncope	A transient loss of consciousness and postural tone caused by diminished blood flow to the brain (i.e., BRAIN ISCHEMIA). Presyncope refers to the sensation of lightheadedness and loss of strength that precedes a syncopal event or accompanies an incomplete syncope. (From Adams et al., Principles of Neurology, 6th ed, pp367-9)
D013576	Syndactyly	A congenital anomaly of the hand or foot, marked by the webbing between adjacent fingers or toes. Syndactylies are classified as complete or incomplete by the degree of joining. Syndactylies can also be simple or complex. Simple syndactyly indicates joining of only skin or soft tissue; complex syndactyly marks joining of bony elements.
D013577	Syndrome	A characteristic symptom complex.
D013580	Synostosis	A union between adjacent bones or parts of a single bone formed by osseous material, such as ossified connecting cartilage or fibrous tissue. (Dorland, 27th ed)
D013581	Synovial Cyst	Non-neoplastic tumor-like lesions at joints, developed from the SYNOVIAL MEMBRANE of a joint through the JOINT CAPSULE into the periarticular tissues. They are filled with SYNOVIAL FLUID with a smooth and translucent appearance. A synovial cyst can develop from any joint, but most commonly at the back of the knee, where it is known as POPLITEAL CYST.
D013584	Sarcoma, Synovial	A malignant neoplasm arising from tenosynovial tissue of the joints and in synovial cells of tendons and bursae. The legs are the most common site, but the tumor can occur in the abdominal wall and other trunk muscles. There are two recognized types: the monophasic (characterized by sheaths of monotonous spindle cells) and the biphasic (characterized by slit-like spaces or clefts within the tumor, lined by cuboidal or tall columnar epithelial cells). These sarcomas occur most commonly in the second and fourth decades of life. (From Dorland, 27th ed; DeVita Jr et al., Cancer: Principles & Practice of Oncology, 3d ed, p1363)
D013585	Synovitis	Inflammation of the SYNOVIAL MEMBRANE.
D013586	Synovitis, Pigmented Villonodular	Diffuse outgrowth arising from the SYNOVIAL MEMBRANE; SYNOVIAL BURSA; or TENDON sheath around the joint cavity, with extension to surrounding soft tissue. It is characterized by pigmented HEMOSIDERIN-containing MACROPHAGES; FOAM CELLS; and multinucleated GIANT CELLS. It usually occurs in the hands and feet, and around large joints, such as in the ankle and knee joints.
D013587	Syphilis	A contagious venereal disease caused by the spirochete TREPONEMA PALLIDUM.
D013589	Syphilis, Cardiovascular	Cardiovascular manifestations of SYPHILIS, an infection of TREPONEMA PALLIDUM. In the late stage of syphilis, sometimes 20-30 years after the initial infection, damages are often seen in the blood vessels including the AORTA and the AORTIC VALVE. Clinical signs include syphilitic aortitis, aortic insufficiency, or aortic ANEURYSM.
D013590	Syphilis, Congenital	Syphilis acquired in utero and manifested by any of several characteristic tooth (Hutchinson's teeth) or bone malformations and by active mucocutaneous syphilis at birth or shortly thereafter. Ocular and neurologic changes may also occur.
D013591	Syphilis, Cutaneous	Cutaneous lesions arising from infection with Treponema pallidum. In the primary stage, 18-21 days following infection, one or more chancres appear. If untreated, the subsequent stages of the disease appear as syphilids. These eruptions are superficial, nondestructive, exanthematic, transient, macular roseolas that may later be maculopapular or papular polymorphous or scaly, pustular, pigmented eruptions.(Arnold, Odom, and James, Andrew's Diseases of the Skin, 8th ed, p409)
D013592	Syphilis, Latent	The stage of syphilis that occurs following the primary (CHANCRE) and secondary stages. The patient is asymptomatic at the latent stage but remains seropositive for the SPIROCHETE.
D013595	Syringomyelia	Longitudinal cavities in the spinal cord, most often in the cervical region, which may extend for multiple spinal levels. The cavities are lined by dense, gliogenous tissue and may be associated with SPINAL CORD NEOPLASMS; spinal cord traumatic injuries; and vascular malformations. Syringomyelia is marked clinically by pain and PARESTHESIA, muscular atrophy of the hands, and analgesia with thermoanesthesia of the hands and arms, but with the tactile sense preserved (sensory dissociation). Lower extremity spasticity and incontinence may also develop. (From Adams et al., Principles of Neurology, 6th ed, p1269)
